ruta_imagen1,ruta_imagen2,ruta_imagen3,theta_i
"/home/ko/ur_ws/src/vision/Datos/capturas/raw/img_[0.7853981633974483, -1.884955592153876, -1.308996938995747, 120.32630598621763, 91.56358670954168, 67.87810689435153].png","/home/ko/ur_ws/src/vision/Datos/capturas/raw1/img_[0.7853981633974483, -1.884955592153876, -1.308996938995747, 120.32630598621763, 91.56358670954168, 67.87810689435153].png","/home/ko/ur_ws/src/vision/Datos/capturas/raw2/img_[0.7853981633974483, -1.884955592153876, -1.308996938995747, 120.32630598621763, 91.56358670954168, 67.87810689435153].png","[0.7853981633974483, -1.884955592153876, -1.308996938995747, 120.32630598621763, 91.56358670954168, 67.87810689435153]"
"/home/ko/ur_ws/src/vision/Datos/capturas/raw/img_[0.7853981633974483, -1.884955592153876, 2.0, 17.543461642527664, 168.34829709509367, 86.70653886188414].png","/home/ko/ur_ws/src/vision/Datos/capturas/raw1/img_[0.7853981633974483, -1.884955592153876, 2.0, 17.543461642527664, 168.34829709509367, 86.70653886188414].png","/home/ko/ur_ws/src/vision/Datos/capturas/raw2/img_[0.7853981633974483, -1.884955592153876, 2.0, 17.543461642527664, 168.34829709509367, 86.70653886188414].png","[0.7853981633974483, -1.884955592153876, 2.0, 17.543461642527664, 168.34829709509367, 86.70653886188414]"
"/home/ko/ur_ws/src/vision/Datos/capturas/raw/img_[0.7853981633974483, -1.884955592153876, 2.0943951023931953, 59.05962626075563, 21.28350162227654, 168.55724655147748].png","/home/ko/ur_ws/src/vision/Datos/capturas/raw1/img_[0.7853981633974483, -1.884955592153876, 2.0943951023931953, 59.05962626075563, 21.28350162227654, 168.55724655147748].png","/home/ko/ur_ws/src/vision/Datos/capturas/raw2/img_[0.7853981633974483, -1.884955592153876, 2.0943951023931953, 59.05962626075563, 21.28350162227654, 168.55724655147748].png","[0.7853981633974483, -1.884955592153876, 2.0943951023931953, 59.05962626075563, 21.28350162227654, 168.55724655147748]"
"/home/ko/ur_ws/src/vision/Datos/capturas/raw/img_[0.7853981633974483, -1.884955592153876, 1.832595714594046, 166.45368338830343, 71.5080990464157, 38.646170388400186].png","/home/ko/ur_ws/src/vision/Datos/capturas/raw1/img_[0.7853981633974483, -1.884955592153876, 1.832595714594046, 166.45368338830343, 71.5080990464157, 38.646170388400186].png","/home/ko/ur_ws/src/vision/Datos/capturas/raw2/img_[0.7853981633974483, -1.884955592153876, 1.832595714594046, 166.45368338830343, 71.5080990464157, 38.646170388400186].png","[0.7853981633974483, -1.884955592153876, 1.832595714594046, 166.45368338830343, 71.5080990464157, 38.646170388400186]"
"/home/ko/ur_ws/src/vision/Datos/capturas/raw/img_[0.7853981633974483, -1.884955592153876, 1.5707963267948966, 27.42677858866156, 84.44998366619201, 151.89424810695698].png","/home/ko/ur_ws/src/vision/Datos/capturas/raw1/img_[0.7853981633974483, -1.884955592153876, 1.5707963267948966, 27.42677858866156, 84.44998366619201, 151.89424810695698].png","/home/ko/ur_ws/src/vision/Datos/capturas/raw2/img_[0.7853981633974483, -1.884955592153876, 1.5707963267948966, 27.42677858866156, 84.44998366619201, 151.89424810695698].png","[0.7853981633974483, -1.884955592153876, 1.5707963267948966, 27.42677858866156, 84.44998366619201, 151.89424810695698]"
"/home/ko/ur_ws/src/vision/Datos/capturas/raw/img_[0.7853981633974483, -1.884955592153876, 1.308996938995747, 145.91226292028654, 94.44788964168247, 147.0315967570482].png","/home/ko/ur_ws/src/vision/Datos/capturas/raw1/img_[0.7853981633974483, -1.884955592153876, 1.308996938995747, 145.91226292028654, 94.44788964168247, 147.0315967570482].png","/home/ko/ur_ws/src/vision/Datos/capturas/raw2/img_[0.7853981633974483, -1.884955592153876, 1.308996938995747, 145.91226292028654, 94.44788964168247, 147.0315967570482].png","[0.7853981633974483, -1.884955592153876, 1.308996938995747, 145.91226292028654, 94.44788964168247, 147.0315967570482]"
"/home/ko/ur_ws/src/vision/Datos/capturas/raw/img_[0.7853981633974483, -1.6755160819145565, -2.0, 80.80363304819286, 103.14399448081772, 84.84985379029816].png","/home/ko/ur_ws/src/vision/Datos/capturas/raw1/img_[0.7853981633974483, -1.6755160819145565, -2.0, 80.80363304819286, 103.14399448081772, 84.84985379029816].png","/home/ko/ur_ws/src/vision/Datos/capturas/raw2/img_[0.7853981633974483, -1.6755160819145565, -2.0, 80.80363304819286, 103.14399448081772, 84.84985379029816].png","[0.7853981633974483, -1.6755160819145565, -2.0, 80.80363304819286, 103.14399448081772, 84.84985379029816]"
"/home/ko/ur_ws/src/vision/Datos/capturas/raw/img_[0.7853981633974483, -1.6755160819145565, -2.0943951023931953, 87.16027538466679, 145.01830985389407, 103.96646053244685].png","/home/ko/ur_ws/src/vision/Datos/capturas/raw1/img_[0.7853981633974483, -1.6755160819145565, -2.0943951023931953, 87.16027538466679, 145.01830985389407, 103.96646053244685].png","/home/ko/ur_ws/src/vision/Datos/capturas/raw2/img_[0.7853981633974483, -1.6755160819145565, -2.0943951023931953, 87.16027538466679, 145.01830985389407, 103.96646053244685].png","[0.7853981633974483, -1.6755160819145565, -2.0943951023931953, 87.16027538466679, 145.01830985389407, 103.96646053244685]"
"/home/ko/ur_ws/src/vision/Datos/capturas/raw/img_[0.7853981633974483, -1.6755160819145565, -1.832595714594046, 15.91882764378737, 20.65453763419684, 117.43736438702938].png","/home/ko/ur_ws/src/vision/Datos/capturas/raw1/img_[0.7853981633974483, -1.6755160819145565, -1.832595714594046, 15.91882764378737, 20.65453763419684, 117.43736438702938].png","/home/ko/ur_ws/src/vision/Datos/capturas/raw2/img_[0.7853981633974483, -1.6755160819145565, -1.832595714594046, 15.91882764378737, 20.65453763419684, 117.43736438702938].png","[0.7853981633974483, -1.6755160819145565, -1.832595714594046, 15.91882764378737, 20.65453763419684, 117.43736438702938]"
"/home/ko/ur_ws/src/vision/Datos/capturas/raw/img_[0.7853981633974483, -1.6755160819145565, -1.5707963267948966, 88.99366631334561, 17.925989892474313, 135.8659157421591].png","/home/ko/ur_ws/src/vision/Datos/capturas/raw1/img_[0.7853981633974483, -1.6755160819145565, -1.5707963267948966, 88.99366631334561, 17.925989892474313, 135.8659157421591].png","/home/ko/ur_ws/src/vision/Datos/capturas/raw2/img_[0.7853981633974483, -1.6755160819145565, -1.5707963267948966, 88.99366631334561, 17.925989892474313, 135.8659157421591].png","[0.7853981633974483, -1.6755160819145565, -1.5707963267948966, 88.99366631334561, 17.925989892474313, 135.8659157421591]"
"/home/ko/ur_ws/src/vision/Datos/capturas/raw/img_[0.7853981633974483, -1.6755160819145565, -1.308996938995747, 99.22306650137736, 35.48721402983772, 165.77991584529354].png","/home/ko/ur_ws/src/vision/Datos/capturas/raw1/img_[0.7853981633974483, -1.6755160819145565, -1.308996938995747, 99.22306650137736, 35.48721402983772, 165.77991584529354].png","/home/ko/ur_ws/src/vision/Datos/capturas/raw2/img_[0.7853981633974483, -1.6755160819145565, -1.308996938995747, 99.22306650137736, 35.48721402983772, 165.77991584529354].png","[0.7853981633974483, -1.6755160819145565, -1.308996938995747, 99.22306650137736, 35.48721402983772, 165.77991584529354]"
"/home/ko/ur_ws/src/vision/Datos/capturas/raw/img_[0.7853981633974483, -1.6755160819145565, 2.0, 33.93706061304323, 79.90924611128601, 32.89612083346649].png","/home/ko/ur_ws/src/vision/Datos/capturas/raw1/img_[0.7853981633974483, -1.6755160819145565, 2.0, 33.93706061304323, 79.90924611128601, 32.89612083346649].png","/home/ko/ur_ws/src/vision/Datos/capturas/raw2/img_[0.7853981633974483, -1.6755160819145565, 2.0, 33.93706061304323, 79.90924611128601, 32.89612083346649].png","[0.7853981633974483, -1.6755160819145565, 2.0, 33.93706061304323, 79.90924611128601, 32.89612083346649]"
"/home/ko/ur_ws/src/vision/Datos/capturas/raw/img_[0.7853981633974483, -1.6755160819145565, 2.0943951023931953, 126.27010278440906, 71.68432738238923, 29.777850865293352].png","/home/ko/ur_ws/src/vision/Datos/capturas/raw1/img_[0.7853981633974483, -1.6755160819145565, 2.0943951023931953, 126.27010278440906, 71.68432738238923, 29.777850865293352].png","/home/ko/ur_ws/src/vision/Datos/capturas/raw2/img_[0.7853981633974483, -1.6755160819145565, 2.0943951023931953, 126.27010278440906, 71.68432738238923, 29.777850865293352].png","[0.7853981633974483, -1.6755160819145565, 2.0943951023931953, 126.27010278440906, 71.68432738238923, 29.777850865293352]"
"/home/ko/ur_ws/src/vision/Datos/capturas/raw/img_[0.7853981633974483, -1.6755160819145565, 1.832595714594046, 116.79579552061836, 45.855754869333325, 56.6558611982108].png","/home/ko/ur_ws/src/vision/Datos/capturas/raw1/img_[0.7853981633974483, -1.6755160819145565, 1.832595714594046, 116.79579552061836, 45.855754869333325, 56.6558611982108].png","/home/ko/ur_ws/src/vision/Datos/capturas/raw2/img_[0.7853981633974483, -1.6755160819145565, 1.832595714594046, 116.79579552061836, 45.855754869333325, 56.6558611982108].png","[0.7853981633974483, -1.6755160819145565, 1.832595714594046, 116.79579552061836, 45.855754869333325, 56.6558611982108]"
"/home/ko/ur_ws/src/vision/Datos/capturas/raw/img_[0.7853981633974483, -1.6755160819145565, 1.5707963267948966, 158.9615590528646, 74.94662805561597, 59.07476780751079].png","/home/ko/ur_ws/src/vision/Datos/capturas/raw1/img_[0.7853981633974483, -1.6755160819145565, 1.5707963267948966, 158.9615590528646, 74.94662805561597, 59.07476780751079].png","/home/ko/ur_ws/src/vision/Datos/capturas/raw2/img_[0.7853981633974483, -1.6755160819145565, 1.5707963267948966, 158.9615590528646, 74.94662805561597, 59.07476780751079].png","[0.7853981633974483, -1.6755160819145565, 1.5707963267948966, 158.9615590528646, 74.94662805561597, 59.07476780751079]"
"/home/ko/ur_ws/src/vision/Datos/capturas/raw/img_[0.7853981633974483, -1.6755160819145565, 1.308996938995747, 28.730900142701344, 13.987793850859314, 179.13957853144447].png","/home/ko/ur_ws/src/vision/Datos/capturas/raw1/img_[0.7853981633974483, -1.6755160819145565, 1.308996938995747, 28.730900142701344, 13.987793850859314, 179.13957853144447].png","/home/ko/ur_ws/src/vision/Datos/capturas/raw2/img_[0.7853981633974483, -1.6755160819145565, 1.308996938995747, 28.730900142701344, 13.987793850859314, 179.13957853144447].png","[0.7853981633974483, -1.6755160819145565, 1.308996938995747, 28.730900142701344, 13.987793850859314, 179.13957853144447]"
"/home/ko/ur_ws/src/vision/Datos/capturas/raw/img_[0.7853981633974483, -1.4660765716752369, -2.0, 155.52567936959736, 70.41689307692623, 12.344848955229208].png","/home/ko/ur_ws/src/vision/Datos/capturas/raw1/img_[0.7853981633974483, -1.4660765716752369, -2.0, 155.52567936959736, 70.41689307692623, 12.344848955229208].png","/home/ko/ur_ws/src/vision/Datos/capturas/raw2/img_[0.7853981633974483, -1.4660765716752369, -2.0, 155.52567936959736, 70.41689307692623, 12.344848955229208].png","[0.7853981633974483, -1.4660765716752369, -2.0, 155.52567936959736, 70.41689307692623, 12.344848955229208]"
"/home/ko/ur_ws/src/vision/Datos/capturas/raw/img_[0.7853981633974483, -1.4660765716752369, -2.0943951023931953, 82.92659390852262, 116.65140501345303, 85.98142921995377].png","/home/ko/ur_ws/src/vision/Datos/capturas/raw1/img_[0.7853981633974483, -1.4660765716752369, -2.0943951023931953, 82.92659390852262, 116.65140501345303, 85.98142921995377].png","/home/ko/ur_ws/src/vision/Datos/capturas/raw2/img_[0.7853981633974483, -1.4660765716752369, -2.0943951023931953, 82.92659390852262, 116.65140501345303, 85.98142921995377].png","[0.7853981633974483, -1.4660765716752369, -2.0943951023931953, 82.92659390852262, 116.65140501345303, 85.98142921995377]"
"/home/ko/ur_ws/src/vision/Datos/capturas/raw/img_[0.7853981633974483, -1.4660765716752369, -1.832595714594046, 45.55559682843865, 42.5756238482536, 161.3378854912333].png","/home/ko/ur_ws/src/vision/Datos/capturas/raw1/img_[0.7853981633974483, -1.4660765716752369, -1.832595714594046, 45.55559682843865, 42.5756238482536, 161.3378854912333].png","/home/ko/ur_ws/src/vision/Datos/capturas/raw2/img_[0.7853981633974483, -1.4660765716752369, -1.832595714594046, 45.55559682843865, 42.5756238482536, 161.3378854912333].png","[0.7853981633974483, -1.4660765716752369, -1.832595714594046, 45.55559682843865, 42.5756238482536, 161.3378854912333]"
"/home/ko/ur_ws/src/vision/Datos/capturas/raw/img_[0.7853981633974483, -1.4660765716752369, -1.5707963267948966, 25.952860622579774, 50.032268832788645, 146.47185564379143].png","/home/ko/ur_ws/src/vision/Datos/capturas/raw1/img_[0.7853981633974483, -1.4660765716752369, -1.5707963267948966, 25.952860622579774, 50.032268832788645, 146.47185564379143].png","/home/ko/ur_ws/src/vision/Datos/capturas/raw2/img_[0.7853981633974483, -1.4660765716752369, -1.5707963267948966, 25.952860622579774, 50.032268832788645, 146.47185564379143].png","[0.7853981633974483, -1.4660765716752369, -1.5707963267948966, 25.952860622579774, 50.032268832788645, 146.47185564379143]"
"/home/ko/ur_ws/src/vision/Datos/capturas/raw/img_[0.7853981633974483, -1.4660765716752369, -1.308996938995747, 43.08973604964552, 43.60111884355191, 18.33214077577637].png","/home/ko/ur_ws/src/vision/Datos/capturas/raw1/img_[0.7853981633974483, -1.4660765716752369, -1.308996938995747, 43.08973604964552, 43.60111884355191, 18.33214077577637].png","/home/ko/ur_ws/src/vision/Datos/capturas/raw2/img_[0.7853981633974483, -1.4660765716752369, -1.308996938995747, 43.08973604964552, 43.60111884355191, 18.33214077577637].png","[0.7853981633974483, -1.4660765716752369, -1.308996938995747, 43.08973604964552, 43.60111884355191, 18.33214077577637]"
"/home/ko/ur_ws/src/vision/Datos/capturas/raw/img_[0.7853981633974483, -1.4660765716752369, 2.0, 82.69909137052159, 61.751595462126694, 35.06229452418812].png","/home/ko/ur_ws/src/vision/Datos/capturas/raw1/img_[0.7853981633974483, -1.4660765716752369, 2.0, 82.69909137052159, 61.751595462126694, 35.06229452418812].png","/home/ko/ur_ws/src/vision/Datos/capturas/raw2/img_[0.7853981633974483, -1.4660765716752369, 2.0, 82.69909137052159, 61.751595462126694, 35.06229452418812].png","[0.7853981633974483, -1.4660765716752369, 2.0, 82.69909137052159, 61.751595462126694, 35.06229452418812]"
"/home/ko/ur_ws/src/vision/Datos/capturas/raw/img_[0.7853981633974483, -1.4660765716752369, 2.0943951023931953, 147.7065651634904, 92.55280024748502, 76.11565526381092].png","/home/ko/ur_ws/src/vision/Datos/capturas/raw1/img_[0.7853981633974483, -1.4660765716752369, 2.0943951023931953, 147.7065651634904, 92.55280024748502, 76.11565526381092].png","/home/ko/ur_ws/src/vision/Datos/capturas/raw2/img_[0.7853981633974483, -1.4660765716752369, 2.0943951023931953, 147.7065651634904, 92.55280024748502, 76.11565526381092].png","[0.7853981633974483, -1.4660765716752369, 2.0943951023931953, 147.7065651634904, 92.55280024748502, 76.11565526381092]"
"/home/ko/ur_ws/src/vision/Datos/capturas/raw/img_[0.7853981633974483, -1.4660765716752369, 1.832595714594046, 59.3218434873057, 43.15153043206063, 22.915908253446972].png","/home/ko/ur_ws/src/vision/Datos/capturas/raw1/img_[0.7853981633974483, -1.4660765716752369, 1.832595714594046, 59.3218434873057, 43.15153043206063, 22.915908253446972].png","/home/ko/ur_ws/src/vision/Datos/capturas/raw2/img_[0.7853981633974483, -1.4660765716752369, 1.832595714594046, 59.3218434873057, 43.15153043206063, 22.915908253446972].png","[0.7853981633974483, -1.4660765716752369, 1.832595714594046, 59.3218434873057, 43.15153043206063, 22.915908253446972]"
"/home/ko/ur_ws/src/vision/Datos/capturas/raw/img_[0.7853981633974483, -1.4660765716752369, 1.5707963267948966, 113.45567467441434, 177.7750864791132, 17.615003831289336].png","/home/ko/ur_ws/src/vision/Datos/capturas/raw1/img_[0.7853981633974483, -1.4660765716752369, 1.5707963267948966, 113.45567467441434, 177.7750864791132, 17.615003831289336].png","/home/ko/ur_ws/src/vision/Datos/capturas/raw2/img_[0.7853981633974483, -1.4660765716752369, 1.5707963267948966, 113.45567467441434, 177.7750864791132, 17.615003831289336].png","[0.7853981633974483, -1.4660765716752369, 1.5707963267948966, 113.45567467441434, 177.7750864791132, 17.615003831289336]"
"/home/ko/ur_ws/src/vision/Datos/capturas/raw/img_[0.7853981633974483, -1.4660765716752369, 1.308996938995747, 66.8063799279556, 130.11030632248784, 30.572858622644226].png","/home/ko/ur_ws/src/vision/Datos/capturas/raw1/img_[0.7853981633974483, -1.4660765716752369, 1.308996938995747, 66.8063799279556, 130.11030632248784, 30.572858622644226].png","/home/ko/ur_ws/src/vision/Datos/capturas/raw2/img_[0.7853981633974483, -1.4660765716752369, 1.308996938995747, 66.8063799279556, 130.11030632248784, 30.572858622644226].png","[0.7853981633974483, -1.4660765716752369, 1.308996938995747, 66.8063799279556, 130.11030632248784, 30.572858622644226]"
"/home/ko/ur_ws/src/vision/Datos/capturas/raw/img_[0.7853981633974483, -1.2566370614359172, -2.0, 179.47746535431298, 91.55032334625436, 150.09637987205215].png","/home/ko/ur_ws/src/vision/Datos/capturas/raw1/img_[0.7853981633974483, -1.2566370614359172, -2.0, 179.47746535431298, 91.55032334625436, 150.09637987205215].png","/home/ko/ur_ws/src/vision/Datos/capturas/raw2/img_[0.7853981633974483, -1.2566370614359172, -2.0, 179.47746535431298, 91.55032334625436, 150.09637987205215].png","[0.7853981633974483, -1.2566370614359172, -2.0, 179.47746535431298, 91.55032334625436, 150.09637987205215]"
"/home/ko/ur_ws/src/vision/Datos/capturas/raw/img_[0.7853981633974483, -1.2566370614359172, -2.0943951023931953, 14.765960786116732, 121.98650566461913, 97.56289465438537].png","/home/ko/ur_ws/src/vision/Datos/capturas/raw1/img_[0.7853981633974483, -1.2566370614359172, -2.0943951023931953, 14.765960786116732, 121.98650566461913, 97.56289465438537].png","/home/ko/ur_ws/src/vision/Datos/capturas/raw2/img_[0.7853981633974483, -1.2566370614359172, -2.0943951023931953, 14.765960786116732, 121.98650566461913, 97.56289465438537].png","[0.7853981633974483, -1.2566370614359172, -2.0943951023931953, 14.765960786116732, 121.98650566461913, 97.56289465438537]"
"/home/ko/ur_ws/src/vision/Datos/capturas/raw/img_[0.7853981633974483, -1.2566370614359172, -1.832595714594046, 33.827725374829924, 135.9658425643805, 176.83480222631638].png","/home/ko/ur_ws/src/vision/Datos/capturas/raw1/img_[0.7853981633974483, -1.2566370614359172, -1.832595714594046, 33.827725374829924, 135.9658425643805, 176.83480222631638].png","/home/ko/ur_ws/src/vision/Datos/capturas/raw2/img_[0.7853981633974483, -1.2566370614359172, -1.832595714594046, 33.827725374829924, 135.9658425643805, 176.83480222631638].png","[0.7853981633974483, -1.2566370614359172, -1.832595714594046, 33.827725374829924, 135.9658425643805, 176.83480222631638]"
"/home/ko/ur_ws/src/vision/Datos/capturas/raw/img_[0.7853981633974483, -1.2566370614359172, -1.5707963267948966, 68.4254117611525, 89.78734971166737, 95.35202192851375].png","/home/ko/ur_ws/src/vision/Datos/capturas/raw1/img_[0.7853981633974483, -1.2566370614359172, -1.5707963267948966, 68.4254117611525, 89.78734971166737, 95.35202192851375].png","/home/ko/ur_ws/src/vision/Datos/capturas/raw2/img_[0.7853981633974483, -1.2566370614359172, -1.5707963267948966, 68.4254117611525, 89.78734971166737, 95.35202192851375].png","[0.7853981633974483, -1.2566370614359172, -1.5707963267948966, 68.4254117611525, 89.78734971166737, 95.35202192851375]"
"/home/ko/ur_ws/src/vision/Datos/capturas/raw/img_[0.7853981633974483, -1.2566370614359172, -1.308996938995747, 152.9818030849757, 101.5231638872398, 74.81712441039943].png","/home/ko/ur_ws/src/vision/Datos/capturas/raw1/img_[0.7853981633974483, -1.2566370614359172, -1.308996938995747, 152.9818030849757, 101.5231638872398, 74.81712441039943].png","/home/ko/ur_ws/src/vision/Datos/capturas/raw2/img_[0.7853981633974483, -1.2566370614359172, -1.308996938995747, 152.9818030849757, 101.5231638872398, 74.81712441039943].png","[0.7853981633974483, -1.2566370614359172, -1.308996938995747, 152.9818030849757, 101.5231638872398, 74.81712441039943]"
"/home/ko/ur_ws/src/vision/Datos/capturas/raw/img_[0.7853981633974483, -1.2566370614359172, 2.0, 35.35093236173091, 124.99181389461843, 99.42782446685501].png","/home/ko/ur_ws/src/vision/Datos/capturas/raw1/img_[0.7853981633974483, -1.2566370614359172, 2.0, 35.35093236173091, 124.99181389461843, 99.42782446685501].png","/home/ko/ur_ws/src/vision/Datos/capturas/raw2/img_[0.7853981633974483, -1.2566370614359172, 2.0, 35.35093236173091, 124.99181389461843, 99.42782446685501].png","[0.7853981633974483, -1.2566370614359172, 2.0, 35.35093236173091, 124.99181389461843, 99.42782446685501]"
"/home/ko/ur_ws/src/vision/Datos/capturas/raw/img_[0.7853981633974483, -1.2566370614359172, 2.0943951023931953, 136.33538952349056, 21.055949033509485, 41.09834719192543].png","/home/ko/ur_ws/src/vision/Datos/capturas/raw1/img_[0.7853981633974483, -1.2566370614359172, 2.0943951023931953, 136.33538952349056, 21.055949033509485, 41.09834719192543].png","/home/ko/ur_ws/src/vision/Datos/capturas/raw2/img_[0.7853981633974483, -1.2566370614359172, 2.0943951023931953, 136.33538952349056, 21.055949033509485, 41.09834719192543].png","[0.7853981633974483, -1.2566370614359172, 2.0943951023931953, 136.33538952349056, 21.055949033509485, 41.09834719192543]"
"/home/ko/ur_ws/src/vision/Datos/capturas/raw/img_[0.7853981633974483, -1.2566370614359172, 1.832595714594046, 68.65010143523575, 151.4911938298418, 143.237869194999].png","/home/ko/ur_ws/src/vision/Datos/capturas/raw1/img_[0.7853981633974483, -1.2566370614359172, 1.832595714594046, 68.65010143523575, 151.4911938298418, 143.237869194999].png","/home/ko/ur_ws/src/vision/Datos/capturas/raw2/img_[0.7853981633974483, -1.2566370614359172, 1.832595714594046, 68.65010143523575, 151.4911938298418, 143.237869194999].png","[0.7853981633974483, -1.2566370614359172, 1.832595714594046, 68.65010143523575, 151.4911938298418, 143.237869194999]"
"/home/ko/ur_ws/src/vision/Datos/capturas/raw/img_[0.7853981633974483, -1.2566370614359172, 1.5707963267948966, 169.54318101935138, 128.87461481690752, 32.68456998783724].png","/home/ko/ur_ws/src/vision/Datos/capturas/raw1/img_[0.7853981633974483, -1.2566370614359172, 1.5707963267948966, 169.54318101935138, 128.87461481690752, 32.68456998783724].png","/home/ko/ur_ws/src/vision/Datos/capturas/raw2/img_[0.7853981633974483, -1.2566370614359172, 1.5707963267948966, 169.54318101935138, 128.87461481690752, 32.68456998783724].png","[0.7853981633974483, -1.2566370614359172, 1.5707963267948966, 169.54318101935138, 128.87461481690752, 32.68456998783724]"
"/home/ko/ur_ws/src/vision/Datos/capturas/raw/img_[0.7853981633974483, -1.2566370614359172, 1.308996938995747, 169.02816453919118, 74.30573597176235, 35.00287081317278].png","/home/ko/ur_ws/src/vision/Datos/capturas/raw1/img_[0.7853981633974483, -1.2566370614359172, 1.308996938995747, 169.02816453919118, 74.30573597176235, 35.00287081317278].png","/home/ko/ur_ws/src/vision/Datos/capturas/raw2/img_[0.7853981633974483, -1.2566370614359172, 1.308996938995747, 169.02816453919118, 74.30573597176235, 35.00287081317278].png","[0.7853981633974483, -1.2566370614359172, 1.308996938995747, 169.02816453919118, 74.30573597176235, 35.00287081317278]"
"/home/ko/ur_ws/src/vision/Datos/capturas/raw/img_[0.7853981633974483, -1.0471975511965979, -2.0, 68.1003396888322, 129.19641732861285, 142.9876366061643].png","/home/ko/ur_ws/src/vision/Datos/capturas/raw1/img_[0.7853981633974483, -1.0471975511965979, -2.0, 68.1003396888322, 129.19641732861285, 142.9876366061643].png","/home/ko/ur_ws/src/vision/Datos/capturas/raw2/img_[0.7853981633974483, -1.0471975511965979, -2.0, 68.1003396888322, 129.19641732861285, 142.9876366061643].png","[0.7853981633974483, -1.0471975511965979, -2.0, 68.1003396888322, 129.19641732861285, 142.9876366061643]"
"/home/ko/ur_ws/src/vision/Datos/capturas/raw/img_[0.7853981633974483, -1.0471975511965979, -2.0943951023931953, 82.29297062940434, 48.166999606045536, 1.4960319533514932].png","/home/ko/ur_ws/src/vision/Datos/capturas/raw1/img_[0.7853981633974483, -1.0471975511965979, -2.0943951023931953, 82.29297062940434, 48.166999606045536, 1.4960319533514932].png","/home/ko/ur_ws/src/vision/Datos/capturas/raw2/img_[0.7853981633974483, -1.0471975511965979, -2.0943951023931953, 82.29297062940434, 48.166999606045536, 1.4960319533514932].png","[0.7853981633974483, -1.0471975511965979, -2.0943951023931953, 82.29297062940434, 48.166999606045536, 1.4960319533514932]"
"/home/ko/ur_ws/src/vision/Datos/capturas/raw/img_[0.7853981633974483, -1.0471975511965979, -1.832595714594046, 26.76359350596043, 162.03002366724505, 49.16274645672352].png","/home/ko/ur_ws/src/vision/Datos/capturas/raw1/img_[0.7853981633974483, -1.0471975511965979, -1.832595714594046, 26.76359350596043, 162.03002366724505, 49.16274645672352].png","/home/ko/ur_ws/src/vision/Datos/capturas/raw2/img_[0.7853981633974483, -1.0471975511965979, -1.832595714594046, 26.76359350596043, 162.03002366724505, 49.16274645672352].png","[0.7853981633974483, -1.0471975511965979, -1.832595714594046, 26.76359350596043, 162.03002366724505, 49.16274645672352]"
"/home/ko/ur_ws/src/vision/Datos/capturas/raw/img_[0.7853981633974483, -1.0471975511965979, -1.5707963267948966, 52.857515600908044, 48.25458648305098, 116.81064755575585].png","/home/ko/ur_ws/src/vision/Datos/capturas/raw1/img_[0.7853981633974483, -1.0471975511965979, -1.5707963267948966, 52.857515600908044, 48.25458648305098, 116.81064755575585].png","/home/ko/ur_ws/src/vision/Datos/capturas/raw2/img_[0.7853981633974483, -1.0471975511965979, -1.5707963267948966, 52.857515600908044, 48.25458648305098, 116.81064755575585].png","[0.7853981633974483, -1.0471975511965979, -1.5707963267948966, 52.857515600908044, 48.25458648305098, 116.81064755575585]"
"/home/ko/ur_ws/src/vision/Datos/capturas/raw/img_[0.7853981633974483, -1.0471975511965979, -1.308996938995747, 131.83499681478534, 105.81191077358187, 59.54573790385916].png","/home/ko/ur_ws/src/vision/Datos/capturas/raw1/img_[0.7853981633974483, -1.0471975511965979, -1.308996938995747, 131.83499681478534, 105.81191077358187, 59.54573790385916].png","/home/ko/ur_ws/src/vision/Datos/capturas/raw2/img_[0.7853981633974483, -1.0471975511965979, -1.308996938995747, 131.83499681478534, 105.81191077358187, 59.54573790385916].png","[0.7853981633974483, -1.0471975511965979, -1.308996938995747, 131.83499681478534, 105.81191077358187, 59.54573790385916]"
"/home/ko/ur_ws/src/vision/Datos/capturas/raw/img_[0.7853981633974483, -1.0471975511965979, 2.0, 121.90600505213848, 67.40369134793781, 34.62133033633587].png","/home/ko/ur_ws/src/vision/Datos/capturas/raw1/img_[0.7853981633974483, -1.0471975511965979, 2.0, 121.90600505213848, 67.40369134793781, 34.62133033633587].png","/home/ko/ur_ws/src/vision/Datos/capturas/raw2/img_[0.7853981633974483, -1.0471975511965979, 2.0, 121.90600505213848, 67.40369134793781, 34.62133033633587].png","[0.7853981633974483, -1.0471975511965979, 2.0, 121.90600505213848, 67.40369134793781, 34.62133033633587]"
"/home/ko/ur_ws/src/vision/Datos/capturas/raw/img_[0.7853981633974483, -1.0471975511965979, 2.0943951023931953, 169.81114922976235, 62.788074536493646, 70.73608196479307].png","/home/ko/ur_ws/src/vision/Datos/capturas/raw1/img_[0.7853981633974483, -1.0471975511965979, 2.0943951023931953, 169.81114922976235, 62.788074536493646, 70.73608196479307].png","/home/ko/ur_ws/src/vision/Datos/capturas/raw2/img_[0.7853981633974483, -1.0471975511965979, 2.0943951023931953, 169.81114922976235, 62.788074536493646, 70.73608196479307].png","[0.7853981633974483, -1.0471975511965979, 2.0943951023931953, 169.81114922976235, 62.788074536493646, 70.73608196479307]"
